eta,c,reg,auction_type,bandit_type,n_bidders,r,seed,avg_rev,time_to_converge,avg_regret_seller
0.0,0.1,1.0,first,contextual,6,0.1,58,0.0,0.02,1.0
1.0,0.1,0.1,second,contextual,4,0.3,59,0.0,0.02,1.0
0.75,0.1,0.1,second,ucb,6,0.0,60,0.4106,0.98718,0.541978
0.75,0.5,0.1,second,ucb,6,0.1,61,0.4673,0.5968,0.5147039999999999
0.25,0.1,0.1,first,contextual,2,0.5,62,0.0,0.02,1.0
0.25,0.1,0.1,first,ucb,4,0.3,63,0.4000000000000001,0.01698,0.5993759999999998
1.0,1.0,10.0,second,contextual,4,0.2,64,0.0,0.02,1.0
0.0,0.1,10.0,second,ucb,4,0.1,65,0.4069000000000001,0.93164,0.59496
1.0,0.5,1.0,first,ucb,4,0.2,66,0.0,0.02424,0.9974
0.0,0.5,0.1,first,contextual,4,0.0,67,0.5705999999999999,0.06228,0.42381800000000003
0.5,1.0,0.1,second,ucb,6,0.5,68,0.0,0.02022,0.999816
0.0,1.0,1.0,second,contextual,6,0.4,69,0.0,0.02,1.0
1.0,2.0,10.0,first,contextual,4,0.5,70,0.0,0.02,1.0
0.0,0.1,10.0,second,ucb,6,0.2,71,0.5,0.84196,0.549642
0.0,2.0,0.1,first,contextual,2,0.0,72,0.35900000000000004,0.1276,0.6326279999999999
0.75,0.1,0.1,second,contextual,2,0.0,73,0.36060000000000003,0.96346,0.62534
0.5,2.0,1.0,second,contextual,4,0.4,74,0.0,0.02,1.0
0.5,1.0,0.1,second,contextual,2,0.3,75,0.0,0.02,1.0
1.0,2.0,1.0,second,ucb,6,0.4,76,0.0,0.02022,0.99983
0.5,1.0,0.1,second,ucb,2,0.2,77,0.0,0.0203,0.999892
1.0,1.0,0.1,first,contextual,4,0.5,78,0.0,0.02,1.0
1.0,0.1,0.1,first,ucb,4,0.1,79,0.4000000000000001,0.05194,0.5978119999999998
0.25,1.0,1.0,first,ucb,2,0.3,80,0.0,0.02028,0.999814
0.0,1.0,0.1,first,contextual,4,0.2,81,0.0,0.02,1.0
0.75,2.0,10.0,first,contextual,6,0.5,82,0.0,0.02,1.0
0.5,0.1,1.0,first,contextual,6,0.1,83,0.0,0.02,1.0
0.0,1.0,10.0,first,contextual,4,0.3,84,0.0,0.02,1.0
1.0,0.1,0.1,first,contextual,4,0.1,85,0.0,0.02,1.0
0.5,1.0,0.1,second,contextual,4,0.4,86,0.0,0.02,1.0
0.75,0.5,10.0,second,ucb,6,0.2,87,0.0,0.03976,0.988878
0.5,2.0,1.0,second,contextual,6,0.2,88,0.0,0.02,1.0
1.0,0.5,10.0,first,ucb,4,0.1,89,0.41600000000000004,0.3225,0.5798499999999999
0.25,2.0,0.1,second,ucb,6,0.2,90,0.0,0.02068,0.999538
0.5,0.5,1.0,second,contextual,4,0.3,91,0.0,0.02,1.0
0.0,0.1,0.1,second,contextual,6,0.2,92,0.0,0.02,1.0
1.0,1.0,10.0,second,ucb,2,0.4,93,0.0,0.02032,0.99987
0.25,2.0,10.0,second,ucb,6,0.1,94,0.5226,0.97518,0.46016399999999996
0.0,2.0,1.0,first,contextual,6,0.5,95,0.0,0.02,1.0
1.0,0.5,0.1,second,contextual,6,0.2,96,0.0,0.02,1.0
0.0,2.0,10.0,first,contextual,2,0.2,97,0.0,0.02,1.0
1.0,1.0,10.0,first,contextual,6,0.4,98,0.0,0.02,1.0
0.75,1.0,10.0,first,contextual,4,0.5,99,0.0,0.02,1.0
